parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T02,155,matamata preto,Eschweilera ovata,Lecythidaceae,37.4,37.5,14.95,24.84,C,2,20120209,38.1,37.5
T02,156,pau-jacare,Laetia procera,Salicaceae,53.4,52.5,23.17,36.22,C,2,20120209,54.6,52.5
T02,157,tachi preto,Tachigali myrmecophila,Fabaceae,75,77.5,28.21,44.04,C,2,20120209,75,77.5
T02,158,casca seca,Licania canescens,Chrysobalanaceae,43.1,42.5,27.69,40.7,C,2,20120209,48.6,47.5
T02,159,guajara branco,Pouteria sp.,Sapotaceae,52.1,52.5,24.8,36.89,C,2,20120209,54.5,52.5
T02,160,macaranduba,Manilkara huberi,Sapotaceae,35.8,37.5,24.63,35,C,2,20120209,36.5,37.5
T02,161,casca seca,Licania canescens,Chrysobalanaceae,48.1,47.5,27.79,37.51,C,2,20120209,48.9,47.5
T02,162,casca seca,Licania canescens,Chrysobalanaceae,45.3,47.5,24.03,33.04,C,2,20120209,46.3,47.5
T02,163,morta,NA,NA,53.3,52.5,NA,10.24,NA,NA,20120209,53,52.5
T02,164,morta,NA,NA,46.4,47.5,NA,5.13,NA,NA,20120209,46.3,47.5
T02,165,macaranduba,Manilkara huberi,Sapotaceae,53,52.5,23.31,36.18,S,2,20120209,54.5,52.5
T02,166,morta,NA,NA,46,47.5,NA,14.68,NA,NA,20120209,46,47.5
